repo,number,title,state,merged,created_at,relations,url,important,score,topics
erigontech/erigon,21854,execution/commitment: include exclusion proofs for absent storage slots in execution witness,merged,True,2026-06-16,reviewed-by,https://github.com/erigontech/erigon/pull/21854,1,8,Isolation & transactions; State / domains / commitment
erigontech/erigon,21853,cmd: accept N+ syntax in seg rm-state --step flag,merged,True,2026-06-16,reviewed-by,https://github.com/erigontech/erigon/pull/21853,0,1,State / domains / commitment
erigontech/erigon,21839,[SharovBot] execution/rlp: fix stale listLimit in Stream.Kind() causing round-trip failure,merged,True,2026-06-16,reviewed-by,https://github.com/erigontech/erigon/pull/21839,0,0,
erigontech/erigon,21835,db/datastruct/btindex: drop unused minDelta field from BtIndexWriter,merged,True,2026-06-16,author,https://github.com/erigontech/erigon/pull/21835,0,1,Indexing & perfect hashing
erigontech/erigon,21834,db/datastruct/btindex: drop unused minDelta field from BtIndexWriter,merged,True,2026-06-16,author,https://github.com/erigontech/erigon/pull/21834,0,1,Indexing & perfect hashing
erigontech/erigon,21830,db/recsplit: use SmallSortableBuffers for bucket collector ETL,merged,True,2026-06-16,author,https://github.com/erigontech/erigon/pull/21830,1,7,Indexing & perfect hashing; ETL / staged sync / pruning
erigontech/erigon,21829,seg: SamplingFactor>1 produced only 1 sample,merged,True,2026-06-16,author,https://github.com/erigontech/erigon/pull/21829,0,0,
erigontech/erigon,21828,polygon/sync: fix lost-wakeup race in EventChannel.waitForEvent,merged,True,2026-06-16,author,https://github.com/erigontech/erigon/pull/21828,0,1,Storage engine (MDBX/LMDB)
erigontech/erigon,21827,polygon/sync: fix lost-wakeup race in EventChannel.waitForEvent,merged,True,2026-06-16,author,https://github.com/erigontech/erigon/pull/21827,0,1,Storage engine (MDBX/LMDB)
erigontech/erigon,21826,[r3.5] execution/stagedsync: prune in-RAM overlay when execution unwind is a disk no-op,merged,True,2026-06-15,reviewed-by,https://github.com/erigontech/erigon/pull/21826,1,9,Storage engine (MDBX/LMDB); ETL / staged sync / pruning
erigontech/erigon,21825,execution/stagedsync: prune in-RAM overlay when execution unwind is a disk no-op,merged,True,2026-06-15,reviewed-by,https://github.com/erigontech/erigon/pull/21825,1,9,Storage engine (MDBX/LMDB); ETL / staged sync / pruning
erigontech/erigon,21824,execution/stagedsync: prune in-RAM overlay when execution unwind is a disk no-op,merged,True,2026-06-15,reviewed-by,https://github.com/erigontech/erigon/pull/21824,1,9,Storage engine (MDBX/LMDB); ETL / staged sync / pruning
erigontech/erigon,21820,".github, docs, Makefile: nightly fuzz workflow + fuzzing docs + make fuzz",merged,True,2026-06-15,reviewed-by,https://github.com/erigontech/erigon/pull/21820,0,0,
erigontech/erigon,21813,db/datastruct/btindex: interpolation search in BTree leaf,merged,True,2026-06-15,reviewed-by,https://github.com/erigontech/erigon/pull/21813,1,2,Indexing & perfect hashing
erigontech/erigon,21811,[SharovBot] chore: weekly code cleanup consolidation,merged,True,2026-06-15,reviewed-by,https://github.com/erigontech/erigon/pull/21811,0,0,
erigontech/erigon,21806,seg: SamplingFactor>1 produced only 1 sample,merged,True,2026-06-15,author,https://github.com/erigontech/erigon/pull/21806,0,0,
erigontech/erigon,21805,[r3.4] caplin: serialize uint64 beacon API fields as JSON strings (#20564),merged,True,2026-06-15,reviewed-by,https://github.com/erigontech/erigon/pull/21805,0,0,
erigontech/erigon,21802,[SharovBot] seg rm-state: handle missing .kvi accessor gracefully,merged,True,2026-06-14,reviewed-by,https://github.com/erigontech/erigon/pull/21802,0,1,State / domains / commitment
erigontech/erigon,21801,[wip] [bloatnet] domain: store largeValues in own auto-increment-id table,open,False,2026-06-14,author,https://github.com/erigontech/erigon/pull/21801,0,1,State / domains / commitment
erigontech/erigon,21800,btindex: use off-heap EliasFano during build,closed,False,2026-06-14,author,https://github.com/erigontech/erigon/pull/21800,1,4,Indexing & perfect hashing
erigontech/erigon,21799,db/datastruct/btindex: simplify interpolation search,merged,True,2026-06-14,author,https://github.com/erigontech/erigon/pull/21799,0,1,Indexing & perfect hashing
erigontech/erigon,21798,[r3.5] execution/commitment: skip prev lookup for new branch nodes,merged,True,2026-06-14,author,https://github.com/erigontech/erigon/pull/21798,1,5,Isolation & transactions; State / domains / commitment; Indexing & perfect hashing
